id,title,description,cost,picture,google ratings,user ratings,hotness,group size,outdoor rating,indoor rating,photogenic,season,kid rating,adult rating,family rating,friend rating,crowd rating,category,alcohol
1,Champlin and Sons,Robust bandwidth-monitored forecast,free,http://dummyimage.com/212x100.png/ff4444/ffffff,4.9,2.98,,1,1.92,3.83,2.62,spring,2.68,,1.32,,,multi-tasking,false
2,Daniel and Sons,Secured homogeneous toolset,$$$,http://dummyimage.com/241x100.png/cc0000/ffffff,4.36,3.48,2.85,6,4.09,3.73,,,,1.75,,,3.05,emulation,true
3,Durgan-Ferry,Public-key regional superstructure,$,http://dummyimage.com/195x100.png/5fa2dd/ffffff,2.34,4.57,,5,2.8,2.41,3.84,winter,4.69,,,,,Phased,
4,Davis Group,Down-sized eco-centric attitude,free,http://dummyimage.com/164x100.png/dddddd/000000,2.54,,,,1.14,,,winter,,1.39,,,2.88,maximized,
5,Nolan and Sons,Secured optimal infrastructure,$,,2.33,,1.71,2,1.42,1.13,,spring,4.1,,4.52,,,architecture,true
6,O'Connell-Lueilwitz,Seamless web-enabled hub,$$,http://dummyimage.com/219x100.png/5fa2dd/ffffff,3.11,,,4,,,2.08,summer,,2.41,2.06,4.31,,foreground,false
7,Mann-Donnelly,Re-contextualized optimizing productivity,$$$,,1.03,,3.56,5,,,,winter,2.12,4.13,4.58,,,forecast,
8,Olson-Beer,Advanced incremental throughput,$$$,http://dummyimage.com/163x100.png/ff4444/ffffff,4.35,,1.31,3,1.97,,2.86,,,,2.88,,4.25,Polarised,
9,Bednar-Kohler,Networked needs-based moratorium,free,http://dummyimage.com/204x100.png/ff4444/ffffff,4.58,,,3,3.74,,3.06,,,2.46,1.48,2.11,4.56,structure,true
10,Renner-Muller,Diverse motivating solution,$$,http://dummyimage.com/212x100.png/5fa2dd/ffffff,4.74,1.53,,0,1.13,3.0,4.32,winter,,,,,2.21,explicit,false
11,"Bechtelar, Watsica and Heller",Seamless content-based firmware,free,http://dummyimage.com/162x100.png/5fa2dd/ffffff,1.45,,4.12,,1.1,,1.67,fall,1.55,3.72,4.87,,,Business-focused,true
12,Nicolas-Kozey,Diverse fresh-thinking productivity,$$$,http://dummyimage.com/198x100.png/ff4444/ffffff,1.87,,,0,4.06,2.87,2.88,,,3.57,1.64,,,,false
13,"Bashirian, Stehr and Kautzer",Intuitive optimal help-desk,$$$,http://dummyimage.com/179x100.png/dddddd/000000,3.94,1.76,4.88,6,3.18,,,winter,3.71,4.58,2.24,3.26,,methodical,false
14,Schaden-Wilderman,Up-sized reciprocal circuit,$$$,http://dummyimage.com/147x100.png/ff4444/ffffff,3.61,2.75,1.52,3,1.79,3.54,2.35,fall,3.47,2.32,1.32,2.14,2.85,Realigned,
15,Christiansen-Abshire,Stand-alone disintermediate Graphic Interface,$,http://dummyimage.com/173x100.png/cc0000/ffffff,4.08,,2.49,6,,,2.16,winter,,3.93,,,,,
16,"Towne, Stehr and Hessel",Future-proofed full-range focus group,$,http://dummyimage.com/219x100.png/ff4444/ffffff,1.94,1.9,4.17,1,,2.24,1.64,,,,,,2.59,,
17,Hartmann-Spencer,Seamless didactic function,free,,2.06,3.54,,6,2.85,,,spring,,,,,,,false
18,Olson-Roob,Realigned object-oriented protocol,$$$,,1.97,4.07,,5,4.68,4.79,2.99,,2.05,,1.7,,1.54,productivity,false
19,Williamson-Rice,Assimilated incremental artificial intelligence,$,http://dummyimage.com/169x100.png/cc0000/ffffff,4.87,,,,,4.97,3.91,,,4.95,1.2,2.15,,process improvement,
20,"Kutch, Fisher and Towne",Optional needs-based middleware,$$,http://dummyimage.com/250x100.png/dddddd/000000,2.36,,,1,2.84,4.24,2.99,,2.05,4.35,,3.97,,zero tolerance,false
21,"Rath, Abernathy and Abshire",Integrated bi-directional paradigm,$$,http://dummyimage.com/141x100.png/ff4444/ffffff,3.5,4.82,,,1.49,4.4,3.41,,,1.4,3.42,,2.26,,
22,Crooks-Gorczany,Team-oriented background hierarchy,$$,,3.7,,3.39,3,4.04,,2.48,fall,,,2.2,4.94,3.23,,
23,McKenzie-Schamberger,Managed leading edge conglomeration,free,http://dummyimage.com/200x100.png/cc0000/ffffff,3.71,,,,2.36,2.31,4.86,spring,3.6,,3.89,1.75,,monitoring,true
24,Ryan-Haag,Networked logistical hierarchy,$,http://dummyimage.com/133x100.png/dddddd/000000,3.75,,,,1.74,4.98,2.75,fall,,4.6,3.07,2.1,,,true
25,"Kub, Zulauf and Schuppe",Reverse-engineered directional archive,$,,1.06,,1.52,6,4.11,2.07,2.56,summer,1.01,,,,4.02,strategy,false
26,"Hodkiewicz, Hilll and Littel",Re-engineered uniform analyzer,$$$,http://dummyimage.com/197x100.png/dddddd/000000,4.92,3.82,1.65,2,,3.88,2.95,winter,1.15,,2.64,,,dedicated,true
27,"Luettgen, Mayert and Gibson",Digitized value-added function,,http://dummyimage.com/232x100.png/5fa2dd/ffffff,3.5,,2.45,,2.43,1.77,,summer,2.49,,4.25,,,,
28,Prosacco-Corwin,Advanced reciprocal project,$$$,http://dummyimage.com/214x100.png/dddddd/000000,2.55,,4.37,,,,3.1,fall,3.52,,3.57,,,global,false
29,Pagac Group,Business-focused directional contingency,$$$,http://dummyimage.com/197x100.png/cc0000/ffffff,4.11,4.1,,4,1.7,,1.53,spring,1.67,1.63,,,,support,true
30,Mraz Group,Re-contextualized dedicated secured line,$$,http://dummyimage.com/198x100.png/cc0000/ffffff,1.12,,3.05,5,3.17,1.21,3.43,fall,,,2.13,4.52,3.21,bifurcated,
31,Hyatt-Dicki,Cross-platform fault-tolerant array,$$$,http://dummyimage.com/192x100.png/dddddd/000000,3.76,,3.78,4,,4.74,1.17,winter,,,,1.44,,,
32,Lueilwitz-Maggio,Robust 24/7 data-warehouse,$,http://dummyimage.com/129x100.png/dddddd/000000,1.55,,,,2.51,1.29,,winter,,1.4,3.81,3.39,3.73,initiative,
33,Bechtelar-McGlynn,Distributed asynchronous portal,$$,http://dummyimage.com/116x100.png/cc0000/ffffff,3.6,,2.9,,,1.82,2.59,summer,2.38,2.91,2.52,1.71,,groupware,
34,Graham-Murray,Fundamental 24/7 archive,,http://dummyimage.com/145x100.png/5fa2dd/ffffff,4.43,1.93,,0,2.48,4.76,3.34,spring,2.66,3.18,3.22,,,groupware,
35,Mosciski Inc,Multi-layered national throughput,$$,http://dummyimage.com/249x100.png/dddddd/000000,4.58,,1.96,3,2.47,,3.78,fall,2.09,4.05,,,,support,false
36,"Runolfsson, Sporer and Kunze",Progressive eco-centric pricing structure,free,http://dummyimage.com/164x100.png/cc0000/ffffff,2.42,1.25,2.39,6,1.68,3.73,,summer,1.12,1.36,2.22,2.54,,Pre-emptive,true
37,"Prosacco, VonRueden and Muller",Up-sized solution-oriented concept,$$,http://dummyimage.com/246x100.png/cc0000/ffffff,1.23,,,4,1.23,4.63,,summer,3.1,,,,2.36,transitional,
38,Mayer Group,De-engineered 24 hour array,free,http://dummyimage.com/195x100.png/5fa2dd/ffffff,,1.12,,4,,1.97,4.72,,,1.72,1.77,,4.22,Multi-tiered,
39,"Yost, Rolfson and Wilkinson",Fundamental leading edge infrastructure,$,http://dummyimage.com/210x100.png/5fa2dd/ffffff,4.63,3.82,2.14,7,4.5,1.73,1.34,spring,1.91,,,1.98,,Compatible,true
